ds,mse-compuesta-real
2022-05-01,0.004683449325321156
2022-06-01,0.004327294311325226
2022-07-01,0.0037614943403504776
2022-08-01,0.003922946506712067
2022-09-01,0.004002853588172356
2022-10-01,0.004022291918187939
2022-11-01,0.0040202599336580675
2022-12-01,0.0039962738320482374
2023-01-01,0.003910309268869651
2023-02-01,0.0038160070580086324
2023-03-01,0.0038015154423540276
2023-04-01,0.003786742865699613
2023-05-01,0.003929674344892381
2023-06-01,0.0037881367892731127
2023-07-01,0.00383665969325521
2023-08-01,0.003855177287146468
2023-09-01,0.0038948499692648257
2023-10-01,0.003907757684857597
2023-11-01,0.003838355276511553
2023-12-01,0.003836269774527847
2024-01-01,0.0038508610932620215
2024-02-01,0.0038458476121393816
2024-03-01,0.003849924087463031
2024-04-01,0.003922836132455345
2024-05-01,0.0039081564223871325
2024-06-01,0.0039081564223871325
