ds,preA
2012-02-01,0.012218592964745595
2012-03-01,0.002144161320237486
2012-04-01,0.015318495487809291
2012-05-01,0.010874825133856705
2012-06-01,0.0031961927629891042
2012-07-01,0.0014075225914033376
2012-08-01,0.0007505791706963691
2012-09-01,0.0018797857510313928
2012-10-01,0.009168323655832119
2012-11-01,2.9920493314571597e-05
2012-12-01,0.010515737735861664
2013-01-01,0.004483680399702793
2013-02-01,0.011989715196644298
2013-03-01,0.001237745722991807
2013-04-01,0.020312559206654954
2013-05-01,0.014705991576229684
2013-06-01,0.016238012385585737
2013-07-01,0.010747184533485808
2013-08-01,0.007995877716995664
2013-09-01,0.00406622365382021
2013-10-01,0.012216239856336415
2013-11-01,0.012125244924555344
2013-12-01,0.0207332041625038
2014-01-01,0.013061308873955289
2014-02-01,0.008221271737815884
2014-03-01,0.0021463368011344144
2014-04-01,0.015258382162978583
2014-05-01,0.015306333402702389
2014-06-01,0.025745971774933953
2014-07-01,0.022544314216811228
2014-08-01,0.01439986869142303
2014-09-01,0.003905850116221031
2014-10-01,0.016708267381508265
2014-11-01,0.02490910645037749
2014-12-01,0.035350610801648856
2015-01-01,0.014553578217705957
2015-02-01,0.012577116613935855
2015-03-01,0.0053532381723095
2015-04-01,0.006404587578861329
2015-05-01,0.010224389081986753
2015-06-01,0.018729937137251605
2015-07-01,0.021617229542946433
2015-08-01,0.010906472397138883
2015-09-01,0.005066775085996253
2015-10-01,0.013310341058668913
2015-11-01,0.02162788731220807
2015-12-01,0.022306233812376702
2016-01-01,0.017505815492658627
2016-02-01,0.013818289630952302
2016-03-01,0.004505062940271982
2016-04-01,0.017494118533163655
2016-05-01,0.00863342443952351
2016-06-01,0.0055273614023389145
2016-07-01,0.011370678906861838
2016-08-01,0.004900952764197159
2016-09-01,0.012119719211114982
2016-10-01,0.01158656411506774
2016-11-01,0.012830853173706908
2016-12-01,0.014262286173405999
2017-01-01,0.022254749146595223
2017-02-01,0.009907993483486506
2017-03-01,0.006386222309915491
2017-04-01,0.016697684910763847
2017-05-01,0.009363583558540705
2017-06-01,0.004115062448418599
2017-07-01,0.0025975702416244353
2017-08-01,0.004840846237895719
2017-09-01,0.011185180127870753
2017-10-01,0.010056564969343313
2017-11-01,0.008828507869720732
2017-12-01,0.01543403326864377
2018-01-01,0.01719569988440821
2018-02-01,0.006802940645355076
2018-03-01,0.0029416774436172473
2018-04-01,0.007441066314561248
2018-05-01,0.007284073747209102
2018-06-01,0.004793487052070725
2018-07-01,0.0017419903004357055
2018-08-01,0.004370271126186323
2018-09-01,0.009396164837390258
2018-10-01,0.0018959264306257111
2018-11-01,0.006349669371717035
2018-12-01,0.009411487594616718
2019-01-01,0.015438571951454656
