ds,preMM
2012-03-01,0.010113460207488822
2012-04-01,0.01712716737194031
2012-05-01,0.0043882939532176035
2012-06-01,0.007538650586956019
2012-07-01,0.004554583347451846
2012-08-01,0.0006506141616041683
2012-09-01,0.002668510182068262
2012-10-01,0.010829164926373092
2012-11-01,0.009089080912021874
2012-12-01,0.010017064681002275
2013-01-01,0.015454665024345893
2013-02-01,0.016170187469672248
2013-03-01,0.011799638031354531
2013-04-01,0.020473719399066836
2013-05-01,0.005382295445544472
2013-06-01,0.008277282666544261
2013-07-01,0.006853130655172457
2013-08-01,0.0033623870163783653
2013-09-01,0.012298110730207146
2013-10-01,0.0100006750949162
2013-11-01,0.0049735845858871475
2013-12-01,0.008932398428050492
2014-01-01,0.012929557655805168
2014-02-01,0.016830871642975476
2014-03-01,0.007829871712877523
2014-04-01,0.01490835132000956
2014-05-01,0.004369337293379294
2014-06-01,0.010368686225236123
2014-07-01,0.009005380447648426
2014-08-01,0.00909470511217958
2014-09-01,0.016483917986845675
2014-10-01,0.014184279670192423
2014-11-01,0.008232192686518536
2014-12-01,0.00996894783791269
2015-01-01,0.021961961856577172
2015-02-01,0.019833308232818925
2015-03-01,0.015083379424957633
2015-04-01,0.007153697443923246
2015-05-01,0.010060083389764274
2015-06-01,0.00992446614107012
2015-07-01,0.006553726129685633
2015-08-01,0.01213639197431271
2015-09-01,0.011389722548226455
2015-10-01,0.012771983572257395
2015-11-01,0.01922504204084652
2015-12-01,0.0006573024741889366
2016-01-01,0.01707975930830119
2016-02-01,0.017610524679477768
2016-03-01,0.017232554464527094
2016-04-01,0.014613944285609248
2016-05-01,0.014012141622857466
2016-06-01,0.008159729959160478
2016-07-01,0.008819637464849817
2016-08-01,0.013825096449606833
2016-09-01,0.0074170313598224125
2016-10-01,0.018706370263231853
2016-11-01,0.017260538821963434
2016-12-01,0.009817552998176216
2017-01-01,0.018794837051437696
2017-02-01,0.018550609261986817
2017-03-01,0.010446004309211832
2017-04-01,0.010121935485922773
2017-05-01,0.007260294056594785
2017-06-01,0.00747264769114564
2017-07-01,0.0036864720752333158
2017-08-01,0.005096276039048497
2017-09-01,0.006660694600162831
2017-10-01,0.016996816184062458
2017-11-01,0.007617645551441621
2017-12-01,0.006626014470739294
2018-01-01,0.0059546635885414645
2018-02-01,0.01042329843022416
2018-03-01,0.009301789761358314
2018-04-01,0.004574792718605503
2018-05-01,0.00015937168413016067
2018-06-01,0.0025292024570868765
2018-07-01,0.0030563482742087533
2018-08-01,0.002576707949949242
2018-09-01,0.005130151719519915
2018-10-01,0.0075496569448672
2018-11-01,0.008327004670684257
2018-12-01,0.0029259891401415272
2019-01-01,0.005701965797167863
