ds,posMM
2012-08-01,0.009195498767851307
2012-09-01,0.007850317947982521
2012-10-01,0.006503397661624111
2012-11-01,0.005028740372096774
2012-12-01,0.00405234201435567
2013-01-01,0.003229277387564178
2013-02-01,0.0026299241125855577
2013-03-01,0.0019977388140819397
2013-04-01,0.0011896093095498106
2013-05-01,0.0005929191707844117
2013-06-01,0.00018039747608045165
2013-07-01,0.0
2013-08-01,0.004948937978400014
2013-09-01,0.0044564382933600655
2013-10-01,0.0037214769067552833
2013-11-01,0.0030238115940373067
2013-12-01,0.0024882496397085063
2014-01-01,0.0020877640456364865
2014-02-01,0.001461508812273138
2014-03-01,0.0009977095707436323
2014-04-01,0.00045998753273024384
2014-05-01,0.0001549361753185874
2014-06-01,7.514721404389135e-05
2014-07-01,0.0
2014-08-01,0.004733824065307424
2014-09-01,0.0037572436860559
2014-10-01,0.0029616142393531497
2014-11-01,0.0023136533241518986
2014-12-01,0.001785293724528625
2015-01-01,0.0016103199452196515
2015-02-01,0.00138142826531229
2015-03-01,0.0012327701331084073
2015-04-01,0.0012062291001018188
2015-05-01,0.0016789356661239818
2015-06-01,0.0022724057156008337
2015-07-01,0.0
2015-08-01,0.0013963455161922766
2015-09-01,0.0015212495906420376
2015-10-01,0.0014504156540680047
2015-11-01,0.0011336277739582012
2015-12-01,0.0010535752379481345
2016-01-01,0.0008518149638183647
2016-02-01,0.000411362590208908
2016-03-01,0.00024159222285180526
2016-04-01,0.0008598021382633103
2016-05-01,0.001276494280953555
2016-06-01,0.0018293922511793959
2016-07-01,0.0
2016-08-01,0.006454662343370221
2016-09-01,0.005646800777159622
2016-10-01,0.00491793338647295
2016-11-01,0.004254038682528383
2016-12-01,0.0034150568716171392
2017-01-01,0.002537915297562421
2017-02-01,0.0017593182162833898
2017-03-01,0.0018925794830322307
2017-04-01,0.002036248067854629
2017-05-01,0.0023644870885719538
2017-06-01,0.003091108929592301
2017-07-01,0.0
2017-08-01,0.0008312288777803101
2017-09-01,0.0005767684604054413
2017-10-01,0.00012054218050527865
2017-11-01,0.00046066072062656005
2017-12-01,0.001103373298477539
2018-01-01,0.0014672292394857234
2018-02-01,0.00125731006455565
2018-03-01,0.001136705016839601
2018-04-01,0.0008981304577413418
2018-05-01,0.0010355695121790909
2018-06-01,0.0014664179244416875
2018-07-01,2.220446049250313e-16
2018-08-01,0.007897340310232148
2018-09-01,0.007185689561607589
2018-10-01,0.006579077217836238
2018-11-01,0.005849169749909122
2018-12-01,0.004866716952200312
2019-01-01,0.004001239325680861
2019-02-01,0.0031970598299029263
2019-03-01,0.002462333149244489
2019-04-01,0.0032953127184467412
2019-05-01,0.00662704381189716
2019-06-01,0.010885757807023944
2019-07-01,0.0
2019-08-01,0.013504983434013296
2019-09-01,0.011664767030524548
2019-10-01,0.010707537673660061
2019-11-01,0.01031561708064932
2019-12-01,0.010276660975415242
2020-01-01,0.010132543814418193
