ds,posA
2012-07-01,0.04354110433457927
2012-08-01,0.033960142559660914
2012-09-01,0.025847089538162223
2012-10-01,0.019169480087073785
2012-11-01,0.014034518842658125
2012-12-01,0.009913856708729225
2013-01-01,0.006643834105718412
2013-02-01,0.003987660714310429
2013-03-01,0.001974939531794878
2013-04-01,0.000777586400529191
2013-05-01,0.00018125586981309938
2013-06-01,0.0
2013-07-01,0.023923950547997393
2013-08-01,0.01887508810063225
2013-09-01,0.014356964374409045
2013-10-01,0.010603612222879706
2013-11-01,0.0075660343917953584
2013-12-01,0.005075265490818836
2014-01-01,0.0029895046876339897
2014-02-01,0.0015318780574552153
2014-03-01,0.0005373738969443637
2014-04-01,7.93672446303989e-05
2014-05-01,7.478417874136083e-05
2014-06-01,0.0
2014-07-01,0.021384167195678136
2014-08-01,0.01681259522635359
2014-09-01,0.013452353186176455
2014-10-01,0.011159750238948276
2014-11-01,0.00961552965763015
2014-12-01,0.008526418586456577
2015-01-01,0.007550171674457342
2015-02-01,0.006876014279273488
2015-03-01,0.006522287809301753
2015-04-01,0.006919378374895503
2015-05-01,0.00825432292840896
2015-06-01,0.010344989571876444
2015-07-01,0.006760872824813186
2015-08-01,0.005360895192900676
2015-09-01,0.003918524395646582
2015-10-01,0.0026258664286262895
2015-11-01,0.0016283142890015727
2015-12-01,0.0007495372532933335
2016-01-01,0.0007887172471038417
2016-02-01,0.0010611027631616849
2016-03-01,0.0008226114125413047
2016-04-01,0.00013978632101531416
2016-05-01,0.001376040061093597
2016-06-01,0.0031293860667117074
2016-07-01,0.03154833463944365
2016-08-01,0.02492848608612104
2016-09-01,0.01935139260247642
2016-10-01,0.014991360466202438
2016-11-01,0.01162325116213529
2016-12-01,0.009254807748478805
2017-01-01,0.007924172649223713
2017-02-01,0.007689230516069128
2017-03-01,0.008432984779579137
2017-04-01,0.009817404819809451
2017-05-01,0.011923198270182053
2017-06-01,0.01502306562829992
2017-07-01,0.0047603020980845
2017-08-01,0.005593253474987025
2017-09-01,0.006154656431013716
2017-10-01,0.006275465227167609
2017-11-01,0.0059482108042433444
2017-12-01,0.005166855194104024
2018-01-01,0.004036162653696742
2018-02-01,0.0028701039547525233
2018-03-01,0.0017357677643620544
2018-04-01,0.0008404623236242406
2018-05-01,0.0010470569442203742
2018-06-01,0.002283598562679644
2018-07-01,0.04552706380575426
2018-08-01,0.03735161752547654
2018-09-01,0.029905769736938446
2018-10-01,0.02315319133125219
2018-11-01,0.01726124150708682
2018-12-01,0.01234875634931506
2019-01-01,0.008828041903780498
2019-02-01,0.006735056995269755
2019-03-01,0.006123827347282273
2019-04-01,0.007903174049067358
2019-05-01,0.013801701642423017
2019-06-01,0.02458781426397798
2019-07-01,0.051840728727577945
2019-08-01,0.03806453797906978
2019-09-01,0.027087064421859205
2019-10-01,0.01851164857732416
2019-11-01,0.011967917848765414
2019-12-01,0.01172138701684832
2020-01-01,0.01832250628866877
