ds,mse-compuesta-real
2022-05-01,0.014283400746969491
2022-06-01,0.01535792056123937
2022-07-01,0.013581137182388587
2022-08-01,0.01472816998595513
2022-09-01,0.015471801959015714
2022-10-01,0.015022813398307393
2022-11-01,0.015186714053741088
2022-12-01,0.01699911215781315
2023-01-01,0.016195553981710194
2023-02-01,0.01559211253803559
2023-03-01,0.015165320612777575
2023-04-01,0.014535055800671853
2023-05-01,0.015230502268485192
2023-06-01,0.01705193751140768
2023-07-01,0.017680864950089498
2023-08-01,0.01760324534659314
2023-09-01,0.018831777418374426
2023-10-01,0.019055607391005397
2023-11-01,0.01887979800085666
2023-12-01,0.01719702964427615
2024-01-01,0.016671046471339886
2024-02-01,0.01629561198946158
2024-03-01,0.0149805352195337
2024-04-01,0.015772149204192405
2024-05-01,0.015907690896897413
2024-06-01,0.015907690896897413
