ds,preMM
2012-03-01,0.007107041663344638
2012-04-01,0.006399850463609691
2012-05-01,0.005887803251858004
2012-06-01,0.005377317437008311
2012-07-01,0.0045947816719058565
2012-08-01,0.003827867646947425
2012-09-01,0.0029128913555726
2012-10-01,0.002044059392814157
2012-11-01,0.0009377376523510561
2012-12-01,0.00039662443324728347
2013-01-01,2.1538011470423335e-05
2013-02-01,0.0
2013-03-01,0.004147837145468625
2013-04-01,0.0032761938689245262
2013-05-01,0.0027442902199691366
2013-06-01,0.0024374661203124814
2013-07-01,0.002321022555062502
2013-08-01,0.0021871163970652585
2013-09-01,0.0019051171872159767
2013-10-01,0.0013487782895467149
2013-11-01,0.0009087751086696017
2013-12-01,0.00046398959393889605
2014-01-01,0.00032066708488609486
2014-02-01,0.0
2014-03-01,0.00417166043405981
2014-04-01,0.004325097345944773
2014-05-01,0.004268235964550282
2014-06-01,0.004245301643924337
2014-07-01,0.0037803530613509384
2014-08-01,0.0032495945617827537
2014-09-01,0.002523952112463257
2014-10-01,0.0018276232893255084
2014-11-01,0.001466497605696504
2014-12-01,0.0013698814215129529
2015-01-01,0.0016858950340900014
2015-02-01,0.0
2015-03-01,7.681841163775793e-05
2015-04-01,0.00043149118120466845
2015-05-01,0.001041912505793885
2015-06-01,0.0014374649355256564
2015-07-01,0.0021654672052354718
2015-08-01,0.0025024499299013403
2015-09-01,0.0028816300438927467
2015-10-01,0.003221585424173279
2015-11-01,0.0037036252542689274
2015-12-01,0.004001512549565711
2016-01-01,0.0041568463490182506
2016-02-01,0.0
2016-03-01,0.0041264457549949896
2016-04-01,0.003688379343219861
2016-05-01,0.003439896423986344
2016-06-01,0.003202330973826273
2016-07-01,0.0029349485371106265
2016-08-01,0.0024466763932038393
2016-09-01,0.0019492123270785644
2016-10-01,0.0018592496014897542
2016-11-01,0.0021753004416527055
2016-12-01,0.002387006261350244
2017-01-01,0.0026230117885266413
2017-02-01,0.0
2017-03-01,6.501591054530742e-05
2017-04-01,4.6152157912482394e-05
2017-05-01,6.80337967784439e-05
2017-06-01,0.0005315347159340345
2017-07-01,0.0011520451170152768
2017-08-01,0.0017118927446968524
2017-09-01,0.0019716301422190163
2017-10-01,0.002475544597002166
2017-11-01,0.0030538658783245687
2017-12-01,0.003527256145153146
2018-01-01,0.0037577978676417434
2018-02-01,0.0
2018-03-01,4.4540840740125986e-05
2018-04-01,0.00019549392580131553
2018-05-01,0.00031966868377986124
2018-06-01,0.0003078635317814715
2018-07-01,0.0001840559852968049
2018-08-01,4.394371574600875e-05
2018-09-01,0.000150899760482881
2018-10-01,0.0001557565727421384
2018-11-01,0.00018074233129661277
2018-12-01,8.324798072534279e-05
2019-01-01,0.0003996880148433579
