ds,preA
2012-02-01,0.04046465576998842
2012-03-01,0.03306464746142222
2012-04-01,0.02644476920771306
2012-05-01,0.020389938212258853
2012-06-01,0.014889089407566253
2012-07-01,0.010210595275294877
2012-08-01,0.006328851578664331
2012-09-01,0.0033843888354342954
2012-10-01,0.0013223269005963982
2012-11-01,0.0003776776951421244
2012-12-01,2.166629134113316e-05
2013-01-01,0.0
2013-02-01,0.022347117843514053
2013-03-01,0.01810091658054914
2013-04-01,0.014757333478915585
2013-05-01,0.011964736538209609
2013-06-01,0.009492424549747342
2013-07-01,0.007147468564168689
2013-08-01,0.004946694261018748
2013-09-01,0.003036762052725989
2013-10-01,0.0016884315373736003
2013-11-01,0.0007816661547502826
2013-12-01,0.00031940453840791826
2014-01-01,0.0
2014-02-01,0.026602391722970575
2014-03-01,0.022430309894234068
2014-04-01,0.01818836195097226
2014-05-01,0.01405468332586314
2014-06-01,0.010132762100251196
2014-07-01,0.0068539874551935675
2014-08-01,0.004147525994414053
2014-09-01,0.0025125748045667987
2014-10-01,0.0031768316483208893
2014-11-01,0.003995112087714464
2014-12-01,0.005116026439716621
2015-01-01,0.0066149996978095565
2015-02-01,0.002744810423536152
2015-03-01,0.0026858146985590976
2015-04-01,0.0024502661924899285
2015-05-01,0.0020054427573158178
2015-06-01,0.0018585636962657709
2015-07-01,0.0035825041743736165
2015-08-01,0.005839552006894092
2015-09-01,0.008566888444048387
2015-10-01,0.011671654707171216
2015-11-01,0.01520820879532253
2015-12-01,0.019051064572970566
2016-01-01,0.02312290738897435
2016-02-01,0.025367927584872756
2016-03-01,0.02130920084947864
2016-04-01,0.017846211354740623
2016-05-01,0.014874408466389683
2016-06-01,0.012405747538401912
2016-07-01,0.010357065546818487
2016-08-01,0.008967216862513174
2016-09-01,0.00833662695034336
2016-10-01,0.008688434494057592
2016-11-01,0.009752206062095316
2016-12-01,0.011585253633866057
2017-01-01,0.014085805799651222
2017-02-01,0.0
2017-03-01,6.484040640997999e-05
2017-04-01,1.878756941749464e-05
2017-05-01,8.669479992138252e-05
2017-06-01,0.0006175656740441083
2017-07-01,0.0017687141955439899
2017-08-01,0.003480550321776006
2017-09-01,0.005455037834341752
2017-10-01,0.007940162239857234
2017-11-01,0.01101435590374107
2017-12-01,0.014576458615540192
2018-01-01,0.018386129770963874
2018-02-01,0.0
2018-03-01,4.437100248992876e-05
2018-04-01,0.00023909500233445128
2018-05-01,0.0005576259966570555
2018-06-01,0.0008646239715544418
2018-07-01,0.001048374317767243
2018-08-01,0.0010922930010733296
2018-09-01,0.001243197116851741
2018-10-01,0.0013990858382178866
2018-11-01,0.0015801804443445519
2018-12-01,0.0014966907309928474
2019-01-01,0.0010958625973470542
