ds,posA
2012-07-01,0.02678030986396888
2012-08-01,0.015230038355129842
2012-09-01,0.032797769001281
2012-10-01,0.013381265228148729
2012-11-01,0.03237367632640631
2012-12-01,0.0010931640786048641
2013-01-01,0.03086576601720123
2013-02-01,0.019792879388708773
2013-03-01,0.028224361815631694
2013-04-01,0.00329200783599602
2013-05-01,0.036711098630656046
2013-06-01,0.10346802857563775
2013-07-01,0.08215051717133079
2013-08-01,0.08290771846584305
2013-09-01,0.06559377426779464
2013-10-01,0.028781707909565024
2013-11-01,0.026045910055403364
2013-12-01,0.05927855937376532
2014-01-01,0.02779244362795883
2014-02-01,0.07185299820505141
2014-03-01,0.03685940943385296
2014-04-01,0.019714755363902322
2014-05-01,0.03259723754030827
2014-06-01,0.06939854070582883
2014-07-01,0.0631130771198437
2014-08-01,0.05451704986226271
2014-09-01,0.03533717620831835
2014-10-01,0.024683060294822652
2014-11-01,0.03040937067579951
2014-12-01,0.042113990584068686
2015-01-01,0.03567435650285149
2015-02-01,0.0764860414950008
2015-03-01,0.043254180778962786
2015-04-01,0.03310540142536713
2015-05-01,0.02374825524483065
2015-06-01,0.018700976546862032
2015-07-01,0.015607693584641804
2015-08-01,0.014152362026928551
2015-09-01,0.015493962150181112
2015-10-01,0.012033911188994528
2015-11-01,0.052393618862236674
2015-12-01,0.05677338064433258
2016-01-01,0.048226829702676756
2016-02-01,0.03693096648942621
2016-03-01,0.025701881249310582
2016-04-01,0.028224033223320073
2016-05-01,0.023777753410244573
2016-06-01,0.06953789388118622
2016-07-01,0.09949142068947184
2016-08-01,0.07869732319456989
2016-09-01,0.037130042959204156
2016-10-01,0.04029286770511164
2016-11-01,0.02992096354912806
2016-12-01,0.03258028435452501
2017-01-01,0.045372954453316204
2017-02-01,0.022337179732461406
2017-03-01,0.04187909690113633
2017-04-01,0.012456029307456993
2017-05-01,0.010492234291121139
2017-06-01,0.07001186886175459
2017-07-01,0.08990156735780515
2017-08-01,0.04117898841769596
2017-09-01,0.03177665907922758
2017-10-01,0.053148937166639015
2017-11-01,0.05202975674461572
2017-12-01,0.047037626837109325
2018-01-01,0.04095807013886396
2018-02-01,0.05020412828127561
2018-03-01,0.0769406111550088
2018-04-01,0.15801963175325134
2018-05-01,0.1799157015605547
2018-06-01,0.15857850992615286
2018-07-01,0.1541201192251412
2018-08-01,0.15890764268260313
2018-09-01,0.12750128024543617
2018-10-01,0.18318788047178827
2018-11-01,0.1672777511966529
2018-12-01,0.11510398550022724
2019-01-01,0.05203971093465818
2019-02-01,0.04444239951787166
2019-03-01,0.11091470639290636
2019-04-01,0.37972352594775893
2019-05-01,0.5652382269942693
2019-06-01,0.6567372984865201
2019-07-01,0.4580241562397625
2019-08-01,0.4102693839086721
2019-09-01,0.30846534386013263
2019-10-01,0.2487594966298023
2019-11-01,0.17841556545710252
2019-12-01,0.14843242712849414
2020-01-01,0.11811623394885509
