ds,mse-compuesta-real
2022-05-01,0.0062256390992797336
2022-06-01,0.007503670269890143
2022-07-01,0.006387332291145079
2022-08-01,0.008044527389393654
2022-09-01,0.01123090300652966
2022-10-01,0.004550997175239565
2022-11-01,0.0037392728212583674
2022-12-01,0.0029057770727663463
2023-01-01,0.0021169514453995395
2023-02-01,0.0020282532930100444
2023-03-01,0.002132046600294384
2023-04-01,0.0023253974462836874
2023-05-01,0.002233528123263326
2023-06-01,0.0020098815182376705
2023-07-01,0.0017242267909571168
2023-08-01,0.001820917500310289
2023-09-01,0.0014013521629922551
2023-10-01,0.0011159752921832725
2023-11-01,0.0015992601194083095
2023-12-01,0.0020066435306279533
2024-01-01,0.002025404999872417
2024-02-01,0.0013540752973085813
2024-03-01,0.0012205986938076847
2024-04-01,0.0015753844496132268
2024-05-01,0.0016195404319667866
2024-06-01,0.0016195404319667866
