ds,posMM
2012-08-01,0.011290386236230021
2012-09-01,0.017425398044843554
2012-10-01,0.018850280679925113
2012-11-01,0.018657094203718416
2012-12-01,0.03234728937412534
2013-01-01,0.03246880193358481
2013-02-01,0.010698801098302235
2013-03-01,0.008304121961496103
2013-04-01,0.030738896666385074
2013-05-01,0.032325930780442325
2013-06-01,0.0602412839095382
2013-07-01,0.09321910236181719
2013-08-01,0.0019140009883491516
2013-09-01,0.03248311044167829
2013-10-01,0.03911827991904371
2013-11-01,0.008086261761978242
2013-12-01,0.08689179772272038
2014-01-01,0.0331828253032872
2014-02-01,0.042854210320041886
2014-03-01,0.0748576397036308
2014-04-01,0.020853752932360803
2014-05-01,0.053341885154055024
2014-06-01,0.035666196483506774
2014-07-01,0.110273345037871
2014-08-01,0.009098304537673574
2014-09-01,0.021411299193884736
2014-10-01,0.041795323322279754
2014-11-01,0.033791811367416824
2014-12-01,0.0537123354303759
2015-01-01,0.010982840971105023
2015-02-01,0.051852447331423135
2015-03-01,0.0677021235690688
2015-04-01,0.02874719758354627
2015-05-01,0.02695978642119523
2015-06-01,0.010301374406728847
2015-07-01,0.008190523915643788
2015-08-01,0.00558185359761354
2015-09-01,0.012399336494675284
2015-10-01,0.01214973659060159
2015-11-01,0.03919618465847696
2015-12-01,0.031036857058531986
2016-01-01,0.026484116173876582
2016-02-01,0.05114154131355675
2016-03-01,0.028527003385417027
2016-04-01,0.028310757925499308
2016-05-01,0.007444452428560289
2016-06-01,0.044691705855885
2016-07-01,0.07171454998622251
2016-08-01,0.025047175183473658
2016-09-01,0.04859028549829725
2016-10-01,0.004670632630254801
2016-11-01,0.02175511018933174
2016-12-01,0.017591788428855226
2017-01-01,0.03143771631448522
2017-02-01,0.022284306888610272
2017-03-01,0.031546288225756
2017-04-01,0.034793689295388175
2017-05-01,0.014361577833226113
2017-06-01,0.05849873910572756
2017-07-01,0.11791954904709634
2017-08-01,0.04692318715217403
2017-09-01,0.033457387033959174
2017-10-01,0.027420054841207353
2017-11-01,0.00924474060575775
2017-12-01,0.03190947994693338
2018-01-01,0.029713125053651646
2018-02-01,0.013974199505446094
2018-03-01,0.08557747155273165
2018-04-01,0.08136356086245611
2018-05-01,0.03352767080811936
2018-06-01,0.039783501499701335
2018-07-01,0.28979273099802727
2018-08-01,0.019642717773101004
2018-09-01,0.047772007638567926
2018-10-01,0.04977704825295626
2018-11-01,0.02483826281206336
2018-12-01,0.04503500689675599
2019-01-01,0.06029482317091717
2019-02-01,0.022926479807575673
2019-03-01,0.10191455609672628
2019-04-01,0.19804039571435583
2019-05-01,0.12085070682459687
2019-06-01,0.057074408141324695
2019-07-01,0.982939806721873
2019-08-01,0.04535293303541976
2019-09-01,0.11763748997282364
2019-10-01,0.07172225766740836
2019-11-01,0.0663817903095878
2019-12-01,0.060286629862380536
2020-01-01,0.053971369561910176
