ds,preMM
2012-03-01,0.015428909601092333
2012-04-01,0.0031421659316043238
2012-05-01,0.004333359877177423
2012-06-01,0.02643837354221823
2012-07-01,0.02780374347200809
2012-08-01,0.0014395942217003688
2012-09-01,0.037388797697848974
2012-10-01,0.02157507081942245
2012-11-01,0.020553437156940024
2012-12-01,0.02905362315564408
2013-01-01,0.0524842959482239
2013-02-01,0.0435974957860481
2013-03-01,0.03473530940929104
2013-04-01,0.03977850402729688
2013-05-01,0.03881811041905969
2013-06-01,0.06353420751115546
2013-07-01,0.0482039498887562
2013-08-01,0.01246261847605623
2013-09-01,0.04534096096482376
2013-10-01,0.031480472910037305
2013-11-01,0.010990036508257361
2013-12-01,0.08390958740066734
2014-01-01,0.05149833074446486
2014-02-01,0.06041206206143379
2014-03-01,0.0730980997102777
2014-04-01,0.03306737683837757
2014-05-01,0.05762672820273029
2014-06-01,0.044728479158982704
2014-07-01,0.059488076552185354
2014-08-01,0.01988995925363768
2014-09-01,0.04215497232336862
2014-10-01,0.023223732291729915
2014-11-01,0.04035083790236038
2014-12-01,0.05254353054365912
2015-01-01,0.029139734939732542
2015-02-01,0.046997798186045436
2015-03-01,0.05936670057272975
2015-04-01,0.022728609468169347
2015-05-01,0.02930680848600631
2015-06-01,0.011061285864698345
2015-07-01,0.024703290561083335
2015-08-01,0.007540644301155974
2015-09-01,0.018933104541632106
2015-10-01,0.011847920372598186
2015-11-01,0.03478741447799327
2015-12-01,0.030316994551607523
2016-01-01,0.02213285526918274
2016-02-01,0.08845583866055196
2016-03-01,0.02953569787565513
2016-04-01,0.018211544491735676
2016-05-01,0.009029186453934801
2016-06-01,0.04514966868598225
2016-07-01,0.0047993527862202345
2016-08-01,0.02417766227065976
2016-09-01,0.038797209460119664
2016-10-01,0.005837947436536428
2016-11-01,0.014180534889381868
2016-12-01,0.012027088968104227
2017-01-01,0.06050422746983508
2017-02-01,0.07621499628649497
2017-03-01,0.03229019659919552
2017-04-01,0.017574578259218376
2017-05-01,0.01530014266288482
2017-06-01,0.05336997293260526
2017-07-01,0.03029716784913783
2017-08-01,0.04541870138555826
2017-09-01,0.044871049424154874
2017-10-01,0.010510515155149891
2017-11-01,0.016431386388897185
2017-12-01,0.028026473276994146
2018-01-01,0.0712424766020715
2018-02-01,0.11785619785578849
2018-03-01,0.04423279067647079
2018-04-01,0.017746767176753164
2018-05-01,0.012069034030553816
2018-06-01,0.003278149564218902
2018-07-01,0.010422897360274463
2018-08-01,0.020785467662304713
2018-09-01,0.02781427970621464
2018-10-01,0.006733778519250722
2018-11-01,0.01855827331690363
2018-12-01,0.03576353706233604
2019-01-01,0.08307479188354538
