ds,preA
2012-02-01,0.00916211917495747
2012-03-01,0.02474874361342229
2012-04-01,0.027973168408477418
2012-05-01,0.023491068500172022
2012-06-01,0.003762916996653315
2012-07-01,0.03258309037631486
2012-08-01,0.031091930676531453
2012-09-01,0.00632634864818448
2012-10-01,0.015693793228992746
2012-11-01,0.0048855439321756535
2012-12-01,0.025064098211784482
2013-01-01,0.02707018913268431
2013-02-01,0.07504012446671073
2013-03-01,0.09274758666308025
2013-04-01,0.06561193330423576
2013-05-01,0.024368073122882698
2013-06-01,0.05596341307923511
2013-07-01,0.0864582893678086
2013-08-01,0.08238219643420654
2013-09-01,0.05854454002144116
2013-10-01,0.02636516191450094
2013-11-01,0.01905372911007779
2013-12-01,0.06365610045368891
2014-01-01,0.023709877609914623
2014-02-01,0.05239989037649519
2014-03-01,0.10484262978121885
2014-04-01,0.08299682403429338
2014-05-01,0.024307369476413022
2014-06-01,0.028747899175235583
2014-07-01,0.06059038062167172
2014-08-01,0.05356405395893268
2014-09-01,0.04224566381513868
2014-10-01,0.039461130057011934
2014-11-01,0.036467557377768564
2014-12-01,0.0407294386522407
2015-01-01,0.023417932767417327
2015-02-01,0.04335003887305381
2015-03-01,0.04275029120430651
2015-04-01,0.059763328066107554
2015-05-01,0.02891727154861455
2015-06-01,0.03624558674950895
2015-07-01,0.02009081979597047
2015-08-01,0.01748085046721878
2015-09-01,0.03206588797713901
2015-10-01,0.027765296177305294
2015-11-01,0.04027990935287089
2015-12-01,0.038085933550474446
2016-01-01,0.06079861765978518
2016-02-01,0.04198841707558266
2016-03-01,0.012238513427535723
2016-04-01,0.017238843721498393
2016-05-01,0.011364127858619616
2016-06-01,0.049045304142897844
2016-07-01,0.04610157343362576
2016-08-01,0.03192937708459829
2016-09-01,0.011921563670718312
2016-10-01,0.017819371938261705
2016-11-01,0.020068737231809856
2016-12-01,0.023844886250732434
2017-01-01,0.062297989907212886
2017-02-01,0.036275708350112304
2017-03-01,0.04405158276039887
2017-04-01,0.027711257259416568
2017-05-01,0.01976103115219504
2017-06-01,0.04222893512986378
2017-07-01,0.0709332628313182
2017-08-01,0.0385245519306497
2017-09-01,0.014749473455019738
2017-10-01,0.021315290061290536
2017-11-01,0.02418689412643464
2017-12-01,0.0133640884794677
2018-01-01,0.0874780842416329
2018-02-01,0.034105253004564386
2018-03-01,0.01154374629878827
2018-04-01,0.006143862717281071
2018-05-01,0.018179371277053918
2018-06-01,0.021498847469308753
2018-07-01,0.010915131300157473
2018-08-01,0.009968056375887366
2018-09-01,0.017569197956916197
2018-10-01,0.024336308163442923
2018-11-01,0.005393432320920677
2018-12-01,0.031910885250771515
2019-01-01,0.12403132972868569
